 ===============================================================================
              TRACMASS Lagrangian off-line particle tracking 
 ===============================================================================
 
 Start date  : 2026-03-18
 Start time  : 14:16:49
 
 -------------------------------------------------------------------------------
 
 Model information:
 Project code  : project_1m_RAPID/eORCA1
 Case name     : eORCA1_01_1990_25_1m
 Namelist file : /tmp/tracmass_1990_01_2418926/project_1m_RAPID/eORCA1/eORCA1_files/1990/namelist_eORCA1_01_1990_25_1m.in
 
 -------------------------------------------------------------------------------
 
 Configuration options:
  - Forward in time (nff = 1)
  - A subdomain has been choosen
      i index:   185 - 296  
      j index:   197 - 311  
  - Three-dimensional trajectories (vertical fluxes computed)
  - Evaluate the value of these tracers along the trajectories:
     1- mld (m) 
     2- q (wm-2) 
     3- temp (degC) 
     4- sal (gkg-1) 
 
 -------------------------------------------------------------------------------
 
 imindom:         186 jmindom:         198 imt:         112 jmt:         115
 Output information:
 Directory for output files : /dssgfs01/scratch/emdh1n25/project_1m_RAPID/eORCA1/eORCA1_output/1990/
 Prefix for output files    : ORCA1_NPD_01_1990_25_1m
 
 -------------------------------------------------------------------------------
 
 Start date in model-time     : 1990-01-01 00:00
 End date in model-time       : 2014-12-01 00:00
 Length of run in timesteps   :    300
 Number of seeding timesteps  :      1
 Time integration scheme      : regular time step scheme
 Steps between two GCM fields :    100
 
 -------------------------------------------------------------------------------
 t-step        run        out        err        tot                 model date
 -------------------------------------------------------------------------------
      1 |    28421 |        0 |        0 |    28421 |   1990-01-01    00:00:00
      2 |    27428 |      993 |        0 |    28421 |   1990-02-01    00:00:00
      3 |    26296 |     2125 |        0 |    28421 |   1990-03-01    00:00:00
      4 |    25413 |     3008 |        0 |    28421 |   1990-04-01    00:00:00
      5 |    25092 |     3329 |        0 |    28421 |   1990-05-01    00:00:00
      6 |    24847 |     3574 |        0 |    28421 |   1990-06-01    00:00:00
      7 |    24659 |     3762 |        0 |    28421 |   1990-07-01    00:00:00
      8 |    24530 |     3891 |        0 |    28421 |   1990-08-01    00:00:00
      9 |    24395 |     4026 |        0 |    28421 |   1990-09-01    00:00:00
     10 |    24222 |     4199 |        0 |    28421 |   1990-10-01    00:00:00
     11 |    23882 |     4539 |        0 |    28421 |   1990-11-01    00:00:00
     12 |    23687 |     4734 |        0 |    28421 |   1990-12-01    00:00:00
     13 |    23547 |     4874 |        0 |    28421 |   1991-01-01    00:00:00
     14 |    23374 |     5047 |        0 |    28421 |   1991-02-01    00:00:00
     15 |    23187 |     5234 |        0 |    28421 |   1991-03-01    00:00:00
     16 |    23033 |     5388 |        0 |    28421 |   1991-04-01    00:00:00
     17 |    22916 |     5505 |        0 |    28421 |   1991-05-01    00:00:00
     18 |    22834 |     5587 |        0 |    28421 |   1991-06-01    00:00:00
     19 |    22744 |     5677 |        0 |    28421 |   1991-07-01    00:00:00
     20 |    22655 |     5766 |        0 |    28421 |   1991-08-01    00:00:00
     21 |    22589 |     5832 |        0 |    28421 |   1991-09-01    00:00:00
